,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
55,Tunisia,TUN,Eastern Mediterranean,118.19,145.21,20046.2729503342,0.260892283653735,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,132,132,118.0,608114.0,0.02,1.12,1-499 sequences,379.16,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
56,Uganda,UGA,Africa,457.41,15.87,3303.57665988938,0.0636785788262637,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,597,600,596.0,95474.0,0.63,1.31,500+ sequences,10.94,Low income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
57,Ukraine,UKR,Europe,437.34,105.37,26545.7561622536,0.202434105593159,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,246,250,246.0,2343046.0,0.01,0.56,1-499 sequences,8.67,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
58,Uzbekistan,UZB,Europe,334.69,45.89,4182.97529056739,0.10015,Reliable testing capacity,,0 NGS facilities or equivalent,73,73,57.0,135738.0,0.05,0.22,1-499 sequences,10.09,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
59,Vanuatu,VUT,Western Pacific,3.07,,0.0,,Reliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,4.0,0.0,0.0,0 sequences,0.0,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,1 - Reliable,1 - Reliable,
60,Vietnam,VNM,Western Pacific,973.39,13.21,2961.70085988145,0.0855280638525924,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,286,286,142.0,205656.0,0.14,0.29,1-499 sequences,6.51,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
61,Zambia,ZMB,Africa,183.84,55.74,11795.1098781549,0.0930496173929966,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,692,692,692.0,199662.0,0.35,3.76,500+ sequences,76.45,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
62,Zimbabwe,ZWE,Africa,148.63,77.95,7817.00195115387,0.102211920564001,Reliable testing capacity,,0 NGS facilities or equivalent,559,561,474.0,115890.0,0.48,3.76,500+ sequences,69.72,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,0 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
63,Afghanistan,AFG,Eastern Mediterranean,389.28,10.65,1970.84360871352,0.203074777440336,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,94,99,94.0,155764.0,0.06,0.24,1-499 sequences,0.63,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,0 - Unreliable,Connect
64,Algeria,DZA,Africa,438.51,4.46,525.764520763495,0.891131323383344,Reliable testing capacity,,0 - 0 NGS facilities or equivalent,72,72,60.0,205286.0,0.04,0.16,1-499 sequences,1.66,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,October,1 - Reliable,1 - Reliable,Connect
